epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4959791600704193,1.3728587627410889,0.8097500205039978,0.5703927278518677
1,0.8376041650772095,0.4920419454574585,0.8961666822433472,0.3311288356781006
2,0.8944374918937683,0.33056554198265076,0.9261666536331177,0.23871181905269623
3,0.9226666688919067,0.24455691874027252,0.9256666898727417,0.2406042069196701
4,0.9360625147819519,0.20184862613677979,0.9422500133514404,0.18409807980060577
5,0.9424583315849304,0.1820407658815384,0.9462500214576721,0.1682761162519455
6,0.9522083401679993,0.1525740772485733,0.9559166431427002,0.14887279272079468
7,0.957687497138977,0.1341666281223297,0.9605833292007446,0.12565235793590546
8,0.9600208401679993,0.12836438417434692,0.9637500047683716,0.11472141742706299
9,0.9651041626930237,0.11024339497089386,0.9640833139419556,0.11726775765419006
10,0.9681249856948853,0.10083770006895065,0.9648333191871643,0.12216272205114365
11,0.9708541631698608,0.09143785387277603,0.9639999866485596,0.10985197126865387
12,0.9739999771118164,0.08141330629587173,0.9682499766349792,0.10095158219337463
13,0.9750000238418579,0.07843979448080063,0.9668333530426025,0.11009190231561661
14,0.9765833616256714,0.0726771205663681,0.9745000004768372,0.08753721415996552
15,0.979854166507721,0.0643300712108612,0.9739999771118164,0.09225674718618393
16,0.9798750281333923,0.06315512210130692,0.9756666421890259,0.08688469231128693
17,0.9833333492279053,0.05080505460500717,0.971916675567627,0.09758677333593369
18,0.9837291836738586,0.050819285213947296,0.9766666889190674,0.07766573131084442
19,0.9830416440963745,0.051595188677310944,0.9693333506584167,0.10774531215429306
20,0.9841874837875366,0.04720548912882805,0.9752500057220459,0.08164441585540771
21,0.9854375123977661,0.044046007096767426,0.9750833511352539,0.08557594567537308
22,0.9865416884422302,0.04066659137606621,0.9764999747276306,0.08124943822622299
23,0.9866874814033508,0.03908050060272217,0.9751666784286499,0.09572456032037735
24,0.989187479019165,0.032989051192998886,0.9797499775886536,0.07778746634721756
25,0.9884166717529297,0.034510791301727295,0.9743333458900452,0.09868646413087845
26,0.9877499938011169,0.03745369613170624,0.9771666526794434,0.08692976087331772
27,0.9895833134651184,0.031404297798871994,0.9776666760444641,0.08173103630542755
28,0.988979160785675,0.033247195184230804,0.9790833592414856,0.07710950076580048
29,0.9904166460037231,0.02928616851568222,0.9759166836738586,0.09277668595314026
30,0.9910625219345093,0.026452844962477684,0.9764999747276306,0.0960167869925499
31,0.9925416707992554,0.02351195737719536,0.9803333282470703,0.07953052222728729
32,0.9915000200271606,0.025019483640789986,0.9766666889190674,0.08950604498386383
33,0.9924166798591614,0.02271777018904686,0.9788333177566528,0.0875919982790947
34,0.9927499890327454,0.021888766437768936,0.9777500033378601,0.09005223959684372
35,0.9926041960716248,0.021819407120347023,0.9789166450500488,0.08436760306358337
36,0.9916874766349792,0.022552385926246643,0.9769999980926514,0.09300299733877182
37,0.992312490940094,0.02177812159061432,0.9794999957084656,0.08389727026224136
38,0.9912916421890259,0.025522038340568542,0.9758333563804626,0.1039978414773941
39,0.9966250061988831,0.01020846702158451,0.9807500243186951,0.07766778767108917
40,0.9980416893959045,0.00648606289178133,0.9817500114440918,0.07755549252033234
41,0.9985625147819519,0.005410030484199524,0.9817500114440918,0.07678897678852081
42,0.9988958239555359,0.004470248706638813,0.9819999933242798,0.07648003846406937
43,0.9989374876022339,0.004275840241461992,0.9815833568572998,0.07637877762317657
44,0.9988958239555359,0.0038167580496519804,0.9815833568572998,0.0770682543516159
45,0.9988750219345093,0.003862859448418021,0.9821666479110718,0.07673252373933792
46,0.9992916584014893,0.0030829855240881443,0.9822499752044678,0.07538650184869766
47,0.9992916584014893,0.003092564642429352,0.9826666712760925,0.07568772882223129
48,0.999708354473114,0.002456356305629015,0.9825833439826965,0.07703723013401031
49,0.9994375109672546,0.0025595754850655794,0.9816666841506958,0.07815197855234146
50,0.9992083311080933,0.002925650216639042,0.9815000295639038,0.07913563400506973
51,0.9994583129882812,0.0024036336690187454,0.9818333387374878,0.07760102301836014
52,0.9993958473205566,0.0025035657454282045,0.9822499752044678,0.07985313981771469
53,0.9995416402816772,0.0021511027589440346,0.9825000166893005,0.07867554575204849
54,0.9995208382606506,0.0020054972264915705,0.9826666712760925,0.0789429247379303
55,0.99979168176651,0.0017973475623875856,0.9833333492279053,0.07945505529642105
56,0.9995208382606506,0.0019333213567733765,0.9833333492279053,0.07971051335334778
57,0.9996041655540466,0.0016543904785066843,0.9828333258628845,0.07934101670980453
58,0.9996874928474426,0.0014504764694720507,0.9829999804496765,0.07931612432003021
59,0.9996874928474426,0.0014690126990899444,0.9829166531562805,0.07914035767316818
60,0.99979168176651,0.0015137732261791825,0.9829166531562805,0.07948813587427139
61,0.9998124837875366,0.0015212779399007559,0.9827499985694885,0.08011487126350403
62,0.9996874928474426,0.0014691362157464027,0.9825833439826965,0.08004853874444962
63,0.9996041655540466,0.0014981530839577317,0.9826666712760925,0.08001519739627838
64,0.999666690826416,0.0015931972302496433,0.9825000166893005,0.07965705543756485
65,0.9997708201408386,0.0013218068052083254,0.9827499985694885,0.07966899871826172
66,0.9997708201408386,0.001477159676142037,0.9825833439826965,0.07993928343057632
67,0.9998124837875366,0.0014086548471823335,0.9827499985694885,0.07989602535963058
